x,y,color
130.7482457953634,-18.21515516712741,o
130.4949129099404,-17.370635112193234,o
127.82926202916657,-18.90763893782489,o
127.49626331155146,-17.280631856242124,o
134.229770503431,-22.492076998590022,b
142.92346618848796,-28.513784564425574,b
153.0526656967175,-34.26054289330965,b
161.11288864946212,-39.30320121476039,b
164.22948823076234,-44.24585310398123,b
160.2250130845013,-48.29859735003441,b
152.27277424539196,-50.16848123313856,b
141.25003792194317,-51.29575450837693,b
128.14185422086885,-52.00144821131168,b
114.06492232465556,-52.53283356612167,b
100.16657989444441,-53.12904923018597,b
87.49836496704016,-53.99481767212292,b
76.22206050534356,-55.05656706259578,b
66.08992409527954,-56.09576877862651,b
56.853191240423364,-56.89106862162893,b
48.264396481883274,-57.21695654205503,b
40.083016732202864,-56.84154447756303,b
32.08351748508109,-55.529184689872345,b
24.057048263774057,-53.05062703364777,b
15.85774347825315,-49.33176513048452,b
7.478966082802718,-45.09279987079104,b
-1.1280130386467597,-41.28442139533752,b
-9.978576866453409,-38.82881868880357,b
-19.118510387651785,-38.56616432816224,b
-28.70290456733922,-40.514626683404394,b
-38.53620773788793,-43.87300697354022,b
-48.35603806382935,-47.752165750595395,b
-57.93468681961219,-51.240387968545235,b
-67.09093757013727,-53.40686569872226,b
-75.68261210243593,-53.24686381458704,b
-83.40446096535092,-49.63957503726084,b
-89.88071779223876,-42.90387238044804,b
-96.25700452669425,-35.733437633314004,b
-103.75265252461084,-30.76595148383758,b
-113.46922777724663,-29.766726373148273,b
-125.00166776953279,-32.04385295383134,b
-136.63076878138324,-36.094295474873476,b
-146.72480554642974,-40.26626803493457,b
-153.8129164794348,-42.91795284743319,b
-157.90915178379444,-40.740918909245266,b
-154.44555904472296,-34.99148738845976,b
-148.15146158564113,-26.92279385692114,b
-141.52014013177495,-17.271497919817776,b
-137.2308904270812,-7.578153084158729,b
-137.6876988179804,0.37855025083738914,b
-143.51129355811693,6.660769860427964,b
-153.13819534007223,11.74797024629118,b
-164.03608784986614,15.667518731609118,b
-173.64403968086404,18.72301866520455,b
-179.68038392329393,21.43429230702659,b
-179.50803403333336,26.13846495994598,b
-173.34734420195758,28.786685277740066,b
-163.72669929761372,31.329158248436332,b
-151.77912999234348,34.15035461838364,b
-138.9176830252627,37.41051488027156,b
-126.60192248109628,41.24786882276075,b
-115.75563719429844,45.642165435876784,b
-106.15856899435633,50.17929333099871,b
-97.47155012354091,54.371552015869355,b
-89.34434917202753,57.72139920940327,b
-81.41772676662464,59.70024204914104,b
-73.37661935943171,59.726264344209234,b
-65.09725478654053,57.36709269000191,b
-56.693375161909835,53.27685593845464,b
-48.138482121727286,48.48470149574733,b
-39.45303896554824,43.9756468162524,b
-30.707952585992924,40.71740550753833,b
-21.993459046267354,39.62807195792164,b
-13.179556024458513,41.183608444617036,b
-4.182531621470767,44.63881137996231,b
4.820155201919758,48.92763826691948,b
13.691380468100038,52.93276966536479,b
22.3639157528114,55.50653520806326,b
30.794431799619257,55.41938471138091,b
38.71220280166746,52.47128401243507,b
46.45714084406716,47.960369667765846,b
54.60799229649116,43.11675163457902,b
63.6839414674293,39.0836568866576,b
74.19987891478468,36.95930461976065,b
86.51233455059116,37.426593455114144,b
99.76877375835525,39.817026140826584,b
112.7245586175852,43.125646024553944,b
124.18389239311806,46.324910964187005,b
133.02538266936398,48.389926013074025,b
138.67664727449957,48.11741505517095,b
139.0478315610643,42.62804635610807,b
133.4120173076347,35.356662709540494,b
126.83099423344373,26.671457876677483,b
123.97113480385657,19.120431091453774,b
127.60617232668011,14.704145930839394,b
137.40290534095396,11.551838879367613,b
150.09241772401577,9.83267280833166,b
162.07875289919923,8.88589337646051,b
170.06380628320534,7.885320198306197,b
170.8457829691483,3.406957673023728,b
163.2418555194712,0.28564130610295724,b
151.94780425246825,-3.664800310733359,b
140.33714252474826,-8.416532730975922,b
132.14356184433512,-13.665866713344904,b
132.1679115527397,-24.671236852169862,y
141.36083892746353,-31.074682071766166,y
151.58670916475347,-36.87797893768436,y
159.3383321039034,-41.72207472666932,y
161.23032285805039,-44.316613736577736,y
159.00954256225236,-45.55585576367527,y
151.7962207228894,-47.20657361469561,y
141.02205658770768,-48.30442963280086,y
128.01096550624854,-49.004304880674155,y
113.95521375228046,-49.53484023238201,y
100.01642912091744,-50.13280912879068,y
87.25602196764298,-51.00462204798005,y
75.9207980135431,-52.07173190617019,y
65.79025073757569,-53.110773656573116,y
56.63767075624164,-53.898820149175805,y
48.23504964850898,-54.21710008492731,y
40.34743662191045,-53.85322017757031,y
32.72489230282328,-52.59854681678632,y
25.100793288067635,-50.23804879931146,y
17.186873853622178,-46.64226472236569,y
8.81672654440527,-42.40758163992545,y
-0.03232743711719699,-38.49166772510435,y
-9.416084401729801,-35.88202344190753,y
-19.349685897505513,-35.575084609457996,y
-29.49073736886336,-37.61992126197675,y
-39.592156116076545,-41.06498756075106,y
-49.4620163668391,-44.96347215084808,y
-58.873719238927755,-48.39113927538517,y
-67.55417355966733,-50.44284606012266,y
-75.19124993425199,-50.287376828692764,y
-81.6380030705526,-47.21478092107188,y
-87.58832965236616,-40.96868334157576,y
-94.12789481339651,-33.619935367230234,y
-102.56061250320379,-28.012945746944926,y
-113.61005333463319,-26.77003350226765,y
-125.79381989260077,-29.150326556177625,y
-137.71433717778504,-33.296818123701655,y
-147.88575952025636,-37.50000957436798,y
-154.66137756895452,-40.04043416294633,y
-154.91179687998456,-40.86686961629732,y
-152.0535504241508,-36.80209357399778,y
-145.77179860142252,-28.749595455765366,y
-138.96696152109485,-18.846705519458453,y
-134.35344427373252,-8.426860121114956,y
-134.8778667492723,1.4296657276807814,y
-141.69473614236395,9.048262091886077,y
-151.94157601072175,14.498988636019755,y
-163.10603212810094,18.519710231914065,y
-172.70436536091134,21.57205572576052,y
-177.97357207870064,23.901435052624414,y
-177.5396584996718,23.874508741623163,y
-172.42656751206442,25.931484709067274,y
-163.0163886216004,28.414461224122913,y
-151.08723634201408,31.231230918258237,y
-138.13720911996546,34.51381667660068,y
-125.61452072495455,38.415019061130565,y
-114.54750448966583,42.896183759317914,y
-104.8432310204339,47.48302071600636,y
-96.1994171885575,51.654627689405615,y
-88.32484351743096,54.899944226553885,y
-80.93729849381532,56.73896045586331,y
-73.7103947791808,56.74488983416,y
-66.18264346811694,54.57032108511426,y
-58.109535301081415,50.63214603749734,y
-49.60693276955798,45.86866390142923,y
-40.745179899679435,41.26818087808392,y
-31.544177124513734,37.836307015439246,y
-22.00450236673703,36.62809228381166,y
-12.378478518084155,38.29254033252057,y
-2.9764403531061965,41.89193245063638,y
6.130893695527592,46.22912671397503,y
14.832470211984829,50.158258141438296,y
22.947340227078804,52.563812679039195,y
30.284231112044427,52.46308715220352,y
37.39433729474432,49.77624588549471,y
44.88006706429574,45.40834335654618,y
53.14850595490253,40.49570229915699,y
62.666301561952174,36.261528430548545,y
73.9042945704519,33.973901816890425,y
86.83354635161507,34.443839194555125,y
100.41074318926451,36.88651846300384,y
113.5156105920341,40.23181866727769,y
124.9790328832291,43.43220434218298,y
133.55749006658152,45.43749282706856,y
137.45845190205696,45.37588263067559,y
136.40721720024436,44.05182857169848,y
131.1012680984394,37.26988985031684,y
124.339027187628,28.341817192084942,y
120.97892139666725,19.3364378641172,y
125.97827265208099,12.184236676632006,y
136.76477740061364,8.62049230624511,y
149.79613605864677,6.8473391293660795,y
161.85111011396168,5.894542717923585,y
169.41060906097272,4.957294688023267,y
169.12722562755377,5.865933204348023,y
162.2339221444841,3.1112510299656,y
150.93580402022047,-0.8406445908888434,y
139.0785413233924,-5.693313493392305,y
130.14762597121387,-11.426170307492619,y
129.03225806451613,-16.10389610389609,c
128.99558811074593,-17.32563348421768,c
129.28875391226498,-18.56139705247615,c
129.88370878691592,-19.808033994696558,c
130.7524060525413,-21.062391496903967,c
131.8667990269835,-22.3213167451234,c
133.19884102808535,-23.581656925379942,c
134.72048537368912,-24.840259223698624,c
136.40368538163756,-26.093970826104506,c
138.22039436977306,-27.339638918622633,c
140.14256565593828,-28.574110687278072,c
142.14215255797575,-29.79423331809587,c
144.19110839372797,-30.99685399710107,c
146.2613864810375,-32.17881991031873,c
148.3249401377469,-33.3369782437739,c
150.3537226816987,-34.468176183491636,c
152.31968743073548,-35.569260915497004,c
154.19478770269976,-36.637079625815026,c
155.95097681543402,-37.66847950047075,c
